decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score
155,142,1,8,0,0,425.6981458898505,411.80234072559716,408.90936222210854
156,143,2,8,0,0,441.1766427317383,411.80234072559716,408.90936222210854
157,144,1,10,0,1,413.00234072559715,413.00234072559715,408.90936222210854
158,145,2,9,0,0,439.5621562271142,413.00234072559715,408.90936222210854
159,146,0,10,0,0,505.8799260905,413.00234072559715,408.90936222210854
160,147,0,10,0,1,413.00234072559715,413.00234072559715,408.90936222210854
161,148,0,8,0,0,451.1508569187488,413.00234072559715,408.90936222210854
162,149,2,8,0,1,413.00234072559715,413.00234072559715,408.90936222210854
163,149,2,7,1,0,,413.00234072559715,408.90936222210854
164,149,0,9,1,0,,413.00234072559715,408.90936222210854
165,150,0,8,0,0,439.9023407255972,413.00234072559715,408.90936222210854
166,151,2,10,0,0,463.6866482260639,413.00234072559715,408.90936222210854
167,152,2,9,0,1,410.10936222210853,410.10936222210853,408.90936222210854
168,153,2,7,0,0,437.89701916708367,410.10936222210853,408.90936222210854
169,154,1,9,0,0,437.89701916708367,410.10936222210853,408.90936222210854
170,155,1,9,0,1,408.90936222210854,408.90936222210854,408.90936222210854
171,155,1,9,1,0,,408.90936222210854,408.90936222210854
172,156,2,10,0,0,439.50936222210856,408.90936222210854,408.90936222210854
173,157,1,10,0,1,411.5327334081326,411.5327334081326,408.90936222210854
174,158,2,10,0,1,410.60936222210853,410.60936222210853,408.90936222210854
175,159,1,9,0,1,409.40936222210854,409.40936222210854,408.90936222210854
176,160,0,10,0,1,409.40936222210854,409.40936222210854,408.90936222210854
177,161,1,8,0,0,412.30234072559716,409.40936222210854,408.90936222210854
178,162,0,8,0,0,445.3729712463442,409.40936222210854,408.90936222210854
179,163,2,8,0,0,423.3236536298226,409.40936222210854,408.90936222210854
180,163,2,8,1,0,,409.40936222210854,408.90936222210854
181,164,2,7,0,0,454.5233849464396,409.40936222210854,408.90936222210854
182,165,1,9,0,0,438.39701916708367,409.40936222210854,408.90936222210854
183,166,2,10,0,0,425.10936222210853,409.40936222210854,408.90936222210854
184,167,1,8,0,0,411.5327334081326,409.40936222210854,408.90936222210854
185,168,2,10,0,0,441.6766427317383,409.40936222210854,408.90936222210854
186,169,0,10,0,0,438.39701916708367,409.40936222210854,408.90936222210854
187,170,1,8,0,0,479.883869248339,409.40936222210854,408.90936222210854
188,171,0,7,0,0,427.7093622221085,409.40936222210854,408.90936222210854
189,172,2,9,0,0,448.81450155456605,409.40936222210854,408.90936222210854
190,173,0,9,0,1,409.40936222210854,409.40936222210854,408.90936222210854
191,174,2,8,0,0,434.2650712028148,409.40936222210854,408.90936222210854
192,175,0,7,0,0,438.57200174358957,409.40936222210854,408.90936222210854
193,176,1,9,0,0,412.30234072559716,409.40936222210854,408.90936222210854
194,177,2,11,0,0,412.72657539797666,409.40936222210854,408.90936222210854
195,178,1,10,0,1,408.90936222210854,408.90936222210854,408.90936222210854
196,179,2,8,0,0,540.2952582166124,408.90936222210854,408.90936222210854
197,180,0,9,0,1,408.90936222210854,408.90936222210854,408.90936222210854
198,181,0,9,0,0,411.80234072559716,408.90936222210854,408.90936222210854
199,182,0,10,0,0,413.57426947669956,408.90936222210854,408.90936222210854
200,183,1,8,0,0,427.4093622221084,408.90936222210854,408.90936222210854
201,184,2,10,0,0,440.5036094130277,408.90936222210854,408.90936222210854
202,185,2,10,0,0,457.9998961278063,408.90936222210854,408.90936222210854
203,186,2,10,0,1,408.90936222210854,408.90936222210854,408.90936222210854
204,187,2,9,0,0,409.8093622221085,408.90936222210854,408.90936222210854
205,188,1,8,0,0,412.30234072559716,408.90936222210854,408.90936222210854
206,189,1,7,0,1,411.80234072559716,411.80234072559716,408.90936222210854
207,190,2,9,0,0,439.8023407255972,411.80234072559716,408.90936222210854
208,191,1,9,0,1,411.80234072559716,411.80234072559716,408.90936222210854
209,192,0,9,0,0,430.10234072559723,411.80234072559716,408.90936222210854
210,193,2,10,0,0,441.1766427317383,411.80234072559716,408.90936222210854
211,193,2,7,1,0,,411.80234072559716,408.90936222210854
212,194,1,9,0,1,411.80234072559716,411.80234072559716,408.90936222210854
213,195,1,9,0,0,449.9508569187488,411.80234072559716,408.90936222210854
214,196,1,8,0,0,450.3153534483854,411.80234072559716,408.90936222210854
215,196,1,9,1,0,,411.80234072559716,408.90936222210854
216,197,2,9,0,0,441.4766427317383,411.80234072559716,408.90936222210854
217,198,1,8,0,1,411.80234072559716,411.80234072559716,408.90936222210854
218,199,1,10,0,0,442.2023407255972,411.80234072559716,408.90936222210854
219,200,1,10,0,1,411.80234072559716,411.80234072559716,408.90936222210854
220,201,2,7,0,0,510.96457749525405,411.80234072559716,408.90936222210854
221,202,0,10,0,1,411.80234072559716,411.80234072559716,408.90936222210854
222,203,2,9,0,0,414.7023407255973,411.80234072559716,408.90936222210854
223,204,1,10,0,0,438.87538383421247,411.80234072559716,408.90936222210854
224,205,0,9,0,0,441.1766427317383,411.80234072559716,408.90936222210854
225,206,2,9,0,1,411.80234072559716,411.80234072559716,408.90936222210854
226,207,2,9,0,0,418.6371642620063,411.80234072559716,408.90936222210854
227,208,1,7,0,0,426.2509244729088,411.80234072559716,408.90936222210854
228,208,1,9,1,0,,411.80234072559716,408.90936222210854
229,209,2,10,0,0,451.15499719503117,411.80234072559716,408.90936222210854
230,210,1,8,0,0,690.9840432232752,411.80234072559716,408.90936222210854
231,210,1,8,1,0,,411.80234072559716,408.90936222210854
232,211,1,8,0,1,411.80234072559716,411.80234072559716,408.90936222210854
233,212,2,8,0,0,441.1766427317383,411.80234072559716,408.90936222210854
234,213,0,10,0,1,411.80234072559716,411.80234072559716,408.90936222210854
235,214,0,8,0,1,411.80234072559716,411.80234072559716,408.90936222210854
236,215,1,10,0,0,440.80234072559716,411.80234072559716,408.90936222210854
237,216,1,10,0,0,430.70234072559714,411.80234072559716,408.90936222210854
238,217,2,11,0,1,411.80234072559716,411.80234072559716,408.90936222210854
239,218,2,9,0,0,429.84786895976157,411.80234072559716,408.90936222210854
240,219,1,8,0,1,412.30234072559716,412.30234072559716,408.90936222210854
241,220,1,9,0,0,444.49814588985043,412.30234072559716,408.90936222210854
242,221,0,8,0,1,412.30234072559716,412.30234072559716,408.90936222210854
243,222,0,9,0,1,413.2023407255972,413.2023407255972,408.90936222210854
244,223,2,9,0,1,412.30234072559716,412.30234072559716,408.90936222210854
245,224,2,8,0,0,441.6766427317383,412.30234072559716,408.90936222210854
246,224,1,9,1,0,,412.30234072559716,408.90936222210854
247,225,2,10,0,1,412.30234072559716,412.30234072559716,408.90936222210854
248,226,1,8,0,1,411.80234072559716,411.80234072559716,408.90936222210854
249,227,2,10,0,0,439.72091186526114,411.80234072559716,408.90936222210854
250,228,2,8,0,0,441.1766427317383,411.80234072559716,408.90936222210854
251,229,2,8,0,1,411.80234072559716,411.80234072559716,408.90936222210854
252,229,0,9,1,0,,411.80234072559716,408.90936222210854
253,230,0,9,0,0,438.3461798666417,411.80234072559716,408.90936222210854
254,231,1,9,0,0,473.2444663393121,411.80234072559716,408.90936222210854
255,232,2,8,0,0,434.5469499387873,411.80234072559716,408.90936222210854
256,233,2,10,0,0,415.1096885440413,411.80234072559716,408.90936222210854
257,234,0,10,0,0,441.1766427317383,411.80234072559716,408.90936222210854
258,235,1,9,0,0,477.45372556996097,411.80234072559716,408.90936222210854
259,236,1,10,0,0,442.4023407255971,411.80234072559716,408.90936222210854
260,236,1,9,1,0,,411.80234072559716,408.90936222210854
261,237,2,9,0,0,460.5793778807279,411.80234072559716,408.90936222210854
262,238,1,8,0,1,411.80234072559716,411.80234072559716,408.90936222210854
263,239,2,9,0,0,416.10968854404126,411.80234072559716,408.90936222210854
264,240,0,10,0,0,441.1766427317383,411.80234072559716,408.90936222210854
265,241,0,9,0,0,441.8951487350257,411.80234072559716,408.90936222210854
266,242,0,9,0,0,441.1766427317383,411.80234072559716,408.90936222210854
267,242,2,9,1,0,,411.80234072559716,408.90936222210854
268,243,2,8,0,0,441.1766427317383,411.80234072559716,408.90936222210854
269,244,0,10,0,0,457.94883712926645,411.80234072559716,408.90936222210854
270,245,2,8,0,0,417.9469499387873,411.80234072559716,408.90936222210854
271,245,2,8,1,0,,411.80234072559716,408.90936222210854
272,245,1,9,1,0,,411.80234072559716,408.90936222210854
273,246,0,9,0,0,441.1766427317383,411.80234072559716,408.90936222210854
274,247,1,9,0,0,463.65204801822205,411.80234072559716,408.90936222210854
275,248,1,10,0,0,473.2318607731089,411.80234072559716,408.90936222210854
276,248,1,7,1,0,,411.80234072559716,408.90936222210854
277,249,1,8,0,0,442.4023407255972,411.80234072559716,408.90936222210854
278,250,0,9,0,0,426.2509244729088,411.80234072559716,408.90936222210854
