replicate,eta,method,seed_search,seed_test,seed_algorithm,event_mu,event_beta,event_eta,kappa,distance_km,nominal_tardiness_min,tard_mean,tard_std,tard_var95,tard_cvar95,on_time_mean,max_tard_mean,omi_exposure_mean,omi_exposure_max,route_sampled_multiplier_mean,J_mean_test,J_cvar_test,search_scenario_evals,search_evaluated_candidates,search_operator_decisions,search_null_proposals,search_runtime_s,external_wall_s
5,0.35,ALNS-Mean,443001,444001,452001,0.01,0.6,0.35,0.9,370.89999999999986,0.0,0.7299946266542515,2.0506160814558307,4.668553404365696,8.14940336863413,0.9953461538461538,0.6683623000435259,0.0530170183357681,0.849869622263217,1.0477153165021913,372.3599892533083,387.1988067372681,25100,250,359,109,46.85636874999909,46.90026479199878
5,0.35,ALNS-CVaR,443001,444001,453001,0.01,0.6,0.35,0.9,381.7999999999999,0.0,0.3287996321292452,1.6815669800281343,2.1575806137677205,4.536735491116956,0.9969871794871794,0.2914001028085357,0.0529213582276989,0.8572685519080793,1.047629222404929,382.4575992642584,390.8734709822338,25100,250,272,22,28.48389583399694,28.526569624998956
5,0.7,OR-Tools,443001,444001,0,0.0046153846153846,0.6,0.7,1.481574841841101,367.2000000000001,0.0,18.600422025170147,31.995867736289924,75.35085615734602,129.2115280454097,0.9700897435897436,8.148514569428063,0.0316198804278615,0.6765283304068901,1.0468472193439435,404.4008440503403,625.6230560908194,0,0,0,0,0.0,0.0
5,0.7,ALNS-Mean,443001,444001,452001,0.0046153846153846,0.6,0.7,1.481574841841101,371.4999999999999,0.0,2.532934549813736,7.377272892572652,15.277494564741032,27.706542212795956,0.9939615384615385,2.2500448829443993,0.0316148004882274,0.6828229633205847,1.0468396930331836,376.5658690996274,426.9130844255918,25100,250,279,29,30.82380375000139,30.86306308299754
5,0.7,ALNS-CVaR,443001,444001,453001,0.0046153846153846,0.6,0.7,1.481574841841101,376.5999999999999,0.0,3.29568248748089,8.301030122839329,18.10632208554884,31.58116286003187,0.9910641025641024,2.3616049166962716,0.0312402737513206,0.6797293798650109,1.0462848036421857,383.1913649749617,439.7623257200637,25100,250,270,20,27.276400167000247,27.31489816699832
6,0.0,OR-Tools,543001,544001,0,0.0153846153846153,0.6,0.0,0.6952662379115702,367.2000000000001,0.0,12.470072283984884,14.66920474423212,38.05406745563036,59.6324322947881,0.9735512820512822,6.643430599089159,0.0686891491220067,0.9012497035651084,1.0477572462954043,392.1401445679698,486.4648645895762,0,0,0,0,0.0,0.0
6,0.0,ALNS-Mean,543001,544001,552001,0.0153846153846153,0.6,0.0,0.6952662379115702,375.4999999999999,0.0,1.9676873378986772,6.068284433257185,9.996738071802184,21.820979224502636,0.9947820512820512,1.5568982594996896,0.0681024678137737,0.8986055244885206,1.0473493465893762,379.4353746757972,419.1419584490052,25100,250,288,38,34.046050417000515,34.09279133400196
6,0.0,ALNS-CVaR,543001,544001,553001,0.0153846153846153,0.6,0.0,0.6952662379115702,368.99999999999994,0.0,0.1944739617551887,0.5903905975424321,1.3152193366389042,2.399999571281484,0.9972179487179488,0.1888572253225818,0.0689412214747922,0.9081832798324494,1.0479325036918072,369.38894792351033,373.7999991425629,25100,250,340,90,44.17492362499979,44.21843008400174
6,0.35,OR-Tools,543001,544001,0,0.01,0.6,0.35,0.9,367.2000000000001,0.0,13.274803274920233,16.16293327890964,41.97256034111584,65.18755707014903,0.9729230769230768,6.93664211268157,0.0523116123309419,0.8633158313873026,1.0470804510978478,393.7496065498405,497.57511414029807,0,0,0,0,0.0,0.0
6,0.35,ALNS-Mean,543001,544001,552001,0.01,0.6,0.35,0.9,373.7000000000001,0.0,1.5237132337380368,3.9109044314382784,9.810589586405058,15.694599376997616,0.9960897435897436,1.4299388079179065,0.0524439047752127,0.8607430048502397,1.0471995142976915,376.74742646747615,405.0891987539953,25100,250,291,41,35.3770926670004,35.42035191699688
6,0.35,ALNS-CVaR,543001,544001,553001,0.01,0.6,0.35,0.9,373.7999999999999,0.0,0.4886396470448225,1.538977589529998,3.093599143160475,5.757212395512876,0.9964102564102564,0.4491130182589202,0.0521932750075243,0.8640852710084039,1.046973947506772,374.7772792940896,385.31442479102566,25100,250,326,76,40.31488158299908,40.35691870899973
6,0.7,OR-Tools,543001,544001,0,0.0046153846153846,0.6,0.7,1.481574841841101,367.2000000000001,0.0,16.83488252948421,28.650468542264964,65.21447475138731,118.04638323931756,0.9717692307692308,7.611027596887026,0.0316187581927655,0.6866179891583973,1.0468455566686583,400.8697650589685,603.2927664786351,0,0,0,0,0.0,0.0
