decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score,w_random,w_worst,w_shaw
97,81,2,10,0,0,395.4011327627154,389.2770138925779,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
98,82,2,9,0,0,401.1855614527952,389.2770138925779,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
99,83,2,10,0,0,395.4011327627154,389.2770138925779,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
100,84,0,10,0,0,407.9845783519877,389.2770138925779,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
101,85,1,9,0,0,398.53640543036596,389.2770138925779,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
102,86,2,11,0,0,396.7364228761024,389.2770138925779,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
103,87,1,11,0,0,472.03854775711557,389.2770138925779,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
104,88,0,8,0,0,392.4628944523931,389.2770138925779,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
105,89,2,11,0,0,391.79369581176644,389.2770138925779,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
106,90,2,10,0,0,393.95363377839874,389.2770138925779,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
107,91,2,9,0,0,391.79369581176644,389.2770138925779,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
108,92,1,12,0,0,392.01473839892594,389.2770138925779,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
109,93,2,8,0,1,389.5663657779424,389.5663657779424,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
110,94,1,9,0,0,412.98702080722524,389.5663657779424,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
111,95,0,10,0,0,392.08304769713095,389.5663657779424,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
112,96,2,11,0,0,397.25039883354594,389.5663657779424,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
113,97,0,12,0,0,412.5088567405288,389.5663657779424,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
114,98,1,11,0,1,394.0428895999547,394.0428895999547,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
115,99,0,12,0,0,400.6892485881059,394.0428895999547,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
116,100,2,10,0,1,394.5415532112679,394.5415532112679,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
117,101,0,10,0,0,397.4150553119721,394.5415532112679,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
118,102,2,10,0,0,394.9482817195768,394.5415532112679,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
119,103,1,10,0,0,499.44228551837864,394.5415532112679,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
120,104,0,10,0,1,392.3408882519029,392.3408882519029,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
121,105,2,11,0,1,390.9936347962425,390.9936347962425,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
122,106,0,10,0,1,389.66411630328486,389.66411630328486,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
123,107,2,8,0,1,388.31465520418107,388.31465520418107,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
124,108,1,9,0,1,388.3146552041811,388.3146552041811,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
125,109,2,9,0,0,389.0432569325253,388.3146552041811,374.64879271711806,1.2604363636363638,1.078136263736264,1.1972952380952382
126,110,2,11,0,0,394.0198226894035,388.3146552041811,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
127,111,0,12,0,1,394.299770279184,394.299770279184,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
128,112,1,11,0,0,481.9641034474432,394.299770279184,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
129,112,1,9,1,0,,394.299770279184,374.64879271711806,,,
130,113,0,12,0,1,394.1803723206778,394.1803723206778,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
131,114,0,12,0,0,397.25147962630604,394.1803723206778,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
132,115,0,11,0,1,391.8437726091689,391.8437726091689,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
133,116,2,11,0,1,390.0961437807474,390.0961437807474,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
134,117,2,12,0,1,390.5961437807474,390.5961437807474,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
135,118,0,11,0,1,390.7172599661401,390.7172599661401,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
136,119,0,11,0,0,398.26011237869375,390.7172599661401,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
137,120,0,9,0,1,391.2172599661401,391.2172599661401,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
138,121,1,10,0,1,390.7172599661401,390.7172599661401,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
139,122,1,10,0,1,391.14056363527794,391.14056363527794,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
140,123,0,10,0,1,392.1549651472139,392.1549651472139,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
141,124,2,9,0,1,388.80695277267193,388.80695277267193,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
142,125,2,11,0,0,390.4952783559069,388.80695277267193,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
143,126,2,10,0,1,388.80695277267193,388.80695277267193,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
144,127,0,12,0,1,385.67600670445063,385.67600670445063,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
145,128,0,11,0,0,388.80695277267193,385.67600670445063,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
146,129,2,11,0,0,440.0129526022343,385.67600670445063,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
147,130,2,10,0,0,397.46104484131047,385.67600670445063,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
148,131,0,10,0,1,385.57075162731445,385.57075162731445,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
149,132,1,11,0,1,383.6394944105373,383.6394944105373,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
150,133,0,11,0,1,383.44271321140076,383.44271321140076,374.64879271711806,1.2369205194805197,0.9196518681318684,1.1396543722943724
151,134,2,12,0,1,383.44271321140076,383.44271321140076,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
152,135,2,11,0,1,383.37364990279235,383.37364990279235,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
153,136,2,11,0,1,383.67364990279236,383.67364990279236,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
154,137,2,9,0,0,394.4857489645328,383.67364990279236,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
155,138,0,10,0,0,386.8164040434272,383.67364990279236,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
156,139,0,11,0,1,383.67364990279236,383.67364990279236,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
157,140,1,10,0,1,383.67364990279236,383.67364990279236,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
158,141,1,9,0,1,382.0118027033879,382.0118027033879,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
