run_id,day,replicate,path_index,attempt_index,episode_id,vehicle_id,omi,remaining_customers,route_changed,search_gain,incumbent_search_score,selected_search_score,evaluated_candidates,operator_decisions,null_proposals,scenario_evals,recourse_runtime_s,decision_cap_hit,next_node_changed
D02_R02_P010,2,2,10,7,3,0,0.933840091822359,4,False,0.0,27.376935755001114,27.376935755001114,0,25000,25000,100,2.5741282080416568,True,False
D02_R02_P012,2,2,12,1,1,4,0.9317988368444783,12,True,2.2056835725452686,70.30568357254526,68.1,250,1629,1379,25100,1.5730952909798361,False,False
D02_R02_P012,2,2,12,2,1,2,0.8959163348743078,10,True,1.2204022902463834,45.32040229024638,44.099999999999994,250,3292,3042,25100,1.8713902499875985,False,False
D02_R02_P012,2,2,12,3,2,2,0.9208589971338808,3,False,0.0,23.3,23.3,0,25000,25000,100,1.9340952080092393,True,False
D02_R02_P013,2,2,13,1,1,4,0.9056906594489712,13,False,0.0,82.02064781611007,82.02064781611007,250,1848,1598,25100,1.8619650419568643,False,False
D02_R02_P013,2,2,13,2,1,0,0.7128898657022118,6,True,3.0238501523224635,31.823850152322464,28.8,250,2158,1908,25100,0.8400569160003215,False,True
D02_R02_P013,2,2,13,3,1,5,0.58367221685141,7,False,0.0,72.6341958262789,72.6341958262789,250,3519,3269,25100,1.2456676669535227,False,False
D02_R02_P013,2,2,13,4,1,1,0.9555316942135372,10,False,0.0,53.3,53.3,0,25000,25000,100,8.490685417025816,True,False
D02_R02_P014,2,2,14,1,1,0,0.8636548168554884,7,True,3.2091750561053054,33.857432303228876,30.64825724712357,250,2869,2619,25100,1.132644125027582,False,False
D02_R02_P014,2,2,14,2,1,5,0.8363711235396778,8,False,0.0,68.5,68.5,250,4040,3790,25100,1.5965477909776382,False,False
D02_R02_P015,2,2,15,1,1,4,0.8793064763327093,9,False,0.0,62.31192869525496,62.31192869525496,250,1417,1167,25100,1.079278625024017,False,False
D02_R02_P015,2,2,15,2,1,2,0.5584836814874932,8,False,0.0,33.76357414549002,33.76357414549002,0,25000,25000,100,6.067205625004135,True,False
D02_R02_P015,2,2,15,3,2,5,0.7355497697882879,3,False,0.0,39.2,39.2,0,25000,25000,100,1.9354967499966733,True,False
D02_R02_P016,2,2,16,1,1,5,0.9551133326959321,4,False,0.0,40.8,40.8,250,851,601,25100,0.44542570802150294,False,False
D02_R02_P016,2,2,16,2,1,2,0.8582570823284429,8,False,0.0,33.3,33.3,0,25000,25000,100,6.119120832998306,True,False
D02_R02_P017,2,2,17,1,1,1,0.801352671335582,12,False,0.0,63.099999999999994,63.099999999999994,0,25000,25000,100,11.392537124978844,True,False
D02_R02_P017,2,2,17,2,2,5,0.8388282067854033,5,False,0.0,49.300000000000004,49.300000000000004,250,1249,999,25100,0.5859380409820005,False,False
D02_R02_P017,2,2,17,3,2,4,0.5838427282878998,10,False,0.0,63.599999999999994,63.599999999999994,250,1401,1151,25100,1.2047012919792905,False,False
D02_R02_P017,2,2,17,4,3,5,0.9301829717844803,4,False,0.0,40.8,40.8,250,944,694,25100,0.45368137501645833,False,False
D02_R02_P017,2,2,17,5,3,4,0.8545645099112639,7,False,0.0,59.8,59.8,250,875,625,25100,0.7280417499714531,False,False
D02_R02_P018,2,2,18,1,1,2,0.8977853918717095,6,False,0.0,34.51940935775003,34.51940935775003,0,25000,25000,100,4.111458332976326,True,False
D02_R02_P018,2,2,18,2,1,0,0.8906651328435035,4,False,0.0,24.5,24.5,0,25000,25000,100,2.5523880409891717,True,False
D02_R02_P019,2,2,19,1,1,5,0.8882280277038277,5,False,0.0,49.300000000000004,49.300000000000004,250,1289,1039,25100,0.5951382500352338,False,False
D02_R02_P019,2,2,19,2,2,0,0.9447451058718174,2,False,0.0,20.494264935574098,20.494264935574098,0,25000,25000,100,1.4014294170192443,True,False
D02_R02_P020,2,2,20,1,1,4,0.9075725766377292,4,False,0.0,50.0,50.0,250,506,256,25100,0.4129737920011394,False,False
D02_R02_P020,2,2,20,2,2,4,0.9352705008450622,3,False,0.0,45.516386805906926,45.516386805906926,0,25000,25000,100,1.918498000013642,True,False
D02_R03_P001,2,3,1,1,1,5,0.9207531312724756,10,False,0.0,64.7,64.7,250,388,138,25100,0.8298219169955701,False,False
D02_R03_P001,2,3,1,2,1,1,0.8942475786650156,12,False,0.0,59.17733219586075,59.17733219586075,250,1099,849,25100,1.3067070000106469,False,False
D02_R03_P001,2,3,1,3,2,0,0.9202764210237884,4,False,0.0,25.961775204273614,25.961775204273614,0,25000,25000,100,2.5011189169599675,True,False
D02_R03_P002,2,3,2,1,1,1,0.793889401753086,3,False,0.0,30.799999999999997,30.799999999999997,0,25000,25000,100,1.8892387910163961,True,False
D02_R03_P002,2,3,2,2,1,4,0.7063802042282624,2,False,0.0,42.9,42.9,0,25000,25000,100,1.3628181669628248,True,False
D02_R03_P003,2,3,3,1,1,5,0.944593191422585,6,False,0.0,57.1,57.1,250,1821,1571,25100,0.7699453749810345,False,False
D02_R03_P003,2,3,3,2,1,4,0.7662756060692544,11,False,0.0,79.49813672321947,79.49813672321947,250,1567,1317,25100,1.3871267920476384,False,False
D02_R03_P003,2,3,3,3,2,4,0.720737361582958,10,True,12.73528585682513,99.48927241905562,86.7539865622305,250,545,295,25100,0.8824439169839025,False,True
D02_R03_P004,2,3,4,1,1,1,0.9238901934679674,9,False,0.0,57.149988257878995,57.149988257878995,250,841,591,25100,0.8806661250418983,False,False
D02_R03_P004,2,3,4,2,1,2,0.6469510414904668,5,False,0.0,27.952384952585497,27.952384952585497,0,25000,25000,100,3.17898495902773,True,False
D02_R03_P005,2,3,5,1,1,4,0.8720902077366146,8,False,0.0,85.11961887322781,85.11961887322781,250,1257,1007,25100,0.9017934170551598,False,False
D02_R03_P006,2,3,6,1,1,1,0.6958870650135369,7,False,0.0,48.593052055680864,48.593052055680864,250,419,169,25100,0.6107165419962257,False,False
D02_R03_P006,2,3,6,2,1,4,0.6295831149680857,5,False,0.0,56.510285799047736,56.510285799047736,250,2714,2464,25100,0.7724215000052936,False,False
D02_R03_P007,2,3,7,1,1,1,0.8382800425475601,12,False,0.0,63.754797309820574,63.754797309820574,250,718,468,25100,1.1657084170146845,False,False
D02_R03_P007,2,3,7,2,1,5,0.8100310793195632,10,False,0.0,64.7,64.7,250,391,141,25100,0.9006824159878306,False,False
D02_R03_P008,2,3,8,1,1,4,0.7958504300876816,15,True,10.658651642133762,102.99105585329316,92.3324042111594,250,814,564,25100,1.6240769170108251,False,False
D02_R03_P008,2,3,8,2,2,5,0.9455455322134126,10,False,0.0,64.7,64.7,250,387,137,25100,0.84622229100205,False,False
D02_R03_P008,2,3,8,3,2,4,0.8999838695169171,13,False,0.0,82.89999999999999,82.89999999999999,250,378,128,25100,1.0736728750052862,False,False
D02_R03_P009,2,3,9,1,1,4,0.9375571436963077,11,True,5.348840046563794,82.64884004656379,77.3,250,1140,890,25100,1.2213825000217184,False,True
D02_R03_P009,2,3,9,2,1,2,0.7844311641792873,10,False,0.0,42.973758850298324,42.973758850298324,250,410,160,25100,0.8489774159970693,False,False
D02_R03_P009,2,3,9,3,1,1,0.6613326208465252,10,False,0.0,55.56503494891015,55.56503494891015,250,601,351,25100,0.9229329169611447,False,False
D02_R03_P009,2,3,9,4,2,1,0.9456615055929644,9,False,0.0,57.49175376796265,57.49175376796265,250,605,355,25100,0.8378520419937558,False,False
D02_R03_P009,2,3,9,5,2,2,0.863977598427342,5,False,0.0,28.85257388995312,28.85257388995312,0,25000,25000,100,3.2708162919734605,True,False
D02_R03_P009,2,3,9,6,2,0,0.6576004151983257,3,False,0.0,22.700000000000003,22.700000000000003,0,25000,25000,100,1.910337375011295,True,False
D02_R03_P009,2,3,9,7,2,4,0.5766253373066336,7,False,0.0,63.53313071312616,63.53313071312616,0,25000,25000,100,5.002063916996121,True,False
D02_R03_P009,2,3,9,8,3,4,0.7981519947928012,4,False,0.0,65.40433124650284,65.40433124650284,0,25000,25000,100,2.508967667003162,True,False
D02_R03_P009,2,3,9,9,3,1,0.6714809500551149,5,False,0.0,36.9,36.9,0,25000,25000,100,3.2417915830155835,True,False
D02_R03_P010,2,3,10,1,1,4,0.8978016995984885,14,True,12.777470352527772,100.77747035252777,88.0,250,764,514,25100,1.4180814159917645,False,False
D02_R03_P010,2,3,10,2,2,5,0.9027086249840633,6,False,0.0,57.1,57.1,250,1578,1328,25100,0.7442494999850169,False,False
D02_R03_P010,2,3,10,3,3,2,0.868557608525235,10,True,5.134533475450077,49.06405917526756,43.92952569981748,250,544,294,25100,0.9028702090145089,False,False
D02_R03_P010,2,3,10,4,3,1,0.9241551379662647,10,False,0.0,56.701735613433385,56.701735613433385,250,730,480,25100,0.9667156250216067,False,False
D02_R03_P010,2,3,10,5,4,2,0.9532935146230817,6,False,0.0,36.04574645143992,36.04574645143992,250,854,604,25100,0.6328389580012299,False,False
D02_R03_P010,2,3,10,6,4,0,0.933840091822359,4,False,0.0,29.771536039084275,29.771536039084275,0,25000,25000,100,2.550529624975752,True,False
D02_R03_P010,2,3,10,7,4,4,0.8943235328602449,7,False,0.0,63.505721873310584,63.505721873310584,0,25000,25000,100,5.032643458980601,True,False
D02_R03_P012,2,3,12,1,1,4,0.9726151707508259,11,False,0.0,81.71451840926613,81.71451840926613,250,2010,1760,25100,1.592540709010791,False,False
D02_R03_P012,2,3,12,2,1,2,0.8959163348743078,10,True,1.8827135281380407,45.499164753792186,43.616451225654146,250,757,507,25100,0.9724250830477104,False,False
D02_R03_P012,2,3,12,3,1,1,0.7424322562670951,10,False,0.0,51.89584452836607,51.89584452836607,250,1001,751,25100,1.0626477909972891,False,False
D02_R03_P012,2,3,12,4,2,4,0.9676775862302109,6,False,0.0,61.2500790504118,61.2500790504118,250,944,694,25100,0.64668562496081,False,False
D02_R03_P012,2,3,12,5,3,2,0.9213819999806112,3,False,0.0,37.01743191915094,37.01743191915094,0,25000,25000,100,1.92340733401943,True,False
D02_R03_P013,2,3,13,1,1,0,0.7128898657022118,6,True,3.349188387199934,32.149188387199935,28.8,250,2089,1839,25100,0.8340217499644496,False,True
D02_R03_P013,2,3,13,2,1,5,0.6255769065532888,7,False,0.0,60.0,60.0,250,2042,1792,25100,0.9532676669768989,False,False
D02_R03_P014,2,3,14,1,1,0,0.8636548168554884,7,True,3.3549357767884196,33.75493577678842,30.400000000000002,250,2939,2689,25100,1.1228339590015821,False,False
