run_id,day,replicate,path_index,realized_seed,realized_path_hash,static_distance,dddas_distance,static_tardiness,dddas_tardiness,static_J,dddas_J,static_on_time,dddas_on_time,static_max_tardiness,dddas_max_tardiness,delta_distance,delta_tardiness,delta_J,delta_max_tardiness,delta_on_time,episodes,recourse_attempts,route_changes,evaluated_candidates,operator_decisions,null_proposals,decision_cap_terminations,scenario_evaluations,dddas_wall_seconds
D02_R02_P016,2,2,16,8120016,57d446d9605a501eb541ca623ab01795110dc003e51065557a8e0b69b4027f07,420.50000000000006,420.50000000000006,0.0,0.0,420.50000000000006,420.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,250,25851,25601,1,25200,6.979661500023212
D02_R02_P017,2,2,17,8120017,6d15efd29539274776e153f4e11729cb1b4b5848f9efa7f8d4b0411c00a90e1c,420.50000000000006,420.50000000000006,0.0,0.0,420.50000000000006,420.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,0,1000,29469,28469,1,100500,15.406884124968201
D02_R02_P018,2,2,18,8120018,24bda18011f210be87ed360a74390b55ccd142e0bfefdc0edcef7716f9ecd709,420.50000000000006,420.50000000000006,0.0,0.0,420.50000000000006,420.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,50000,50000,2,200,7.080350375035778
D02_R02_P019,2,2,19,8120019,467bc5fe41fa38ec97e075ad761b09508b03aeefd6d04a67f701610410b42f04,420.50000000000006,420.50000000000006,0.0,0.0,420.50000000000006,420.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,250,26289,26039,1,25200,2.41507895803079
D02_R02_P020,2,2,20,8120020,5ca47eefefeac353706692f0ee0b20c610f680dd7434e09254ec81671215a898,420.50000000000006,420.50000000000006,0.0,0.0,420.50000000000006,420.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,250,25506,25256,1,25200,2.7463589999824762
D02_R03_P001,2,3,1,8120001,b013e7a807f3f3f41356bacb8e72620ad8d446867d915ec782ecd1a41fad05fd,415.5000000000001,415.5000000000001,0.0,0.0,415.5000000000001,415.5000000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,500,26487,25987,1,50300,5.249717417056672
D02_R03_P002,2,3,2,8120002,b5bfc43cf96dc1f1cab416d08e5e5397e8d0fb2953b98e67b2fb66e9a17a91aa,415.50000000000006,415.50000000000006,0.0,0.0,415.50000000000006,415.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,50000,50000,2,200,3.6585204580333084
D02_R03_P003,2,3,3,8120003,e88ff630ec7361d9c824d608741efb10e3440591d36d91ac228097db550b6c65,415.50000000000006,417.1000000000001,0.0,0.0,415.50000000000006,417.1000000000001,1.0,1.0,0.0,0.0,-1.6000000000000227,0.0,-1.6000000000000227,0.0,0.0,3,3,1,750,3933,3183,0,75300,3.6533852909924462
D02_R03_P004,2,3,4,8120004,a86b7cda74612e6b34481d3362ce295870344403ab20b4af433edf987260a745,415.5000000000001,415.5000000000001,0.0,0.0,415.5000000000001,415.5000000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,250,25841,25591,1,25200,4.469773499993607
D02_R03_P005,2,3,5,8120005,5efb4d9a76f658ed49101958345934e1b00702248d13bd4123caaeea664b3756,415.50000000000006,415.50000000000006,0.0,0.0,415.50000000000006,415.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,250,1257,1007,0,25100,1.107745666988194
D02_R03_P006,2,3,6,8120006,71000c5bdaf83b50745e7d5449012b3ddfe0b32c63179b3a3ed10c8ca1e9e4b3,415.50000000000006,415.50000000000006,0.09487504730401497,0.09487504730401497,415.6897500946081,415.6897500946081,0.9841269841269842,0.9841269841269842,0.09487504730401497,0.09487504730401497,0.0,0.0,0.0,0.0,0.0,2,2,0,500,3133,2633,0,50200,1.7953410409973003
D02_R03_P007,2,3,7,8120007,332a56b84537d3673053f122d945590380655fa7443444cde1d44d0de7a47b36,415.50000000000006,415.50000000000006,0.0,0.0,415.50000000000006,415.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,500,1109,609,0,50200,2.497387917013839
D02_R03_P008,2,3,8,8120008,6822322d1fe03cb6532e64fc4632a8b959cbdf5db7c45313088c8a65a5a9392f,415.50000000000006,418.60000000000014,0.0,0.0,415.50000000000006,418.60000000000014,1.0,1.0,0.0,0.0,-3.1000000000000796,0.0,-3.1000000000000796,0.0,0.0,3,3,1,750,1579,829,0,75300,4.17255933303386
