day,replicate,method,n_customers,horizon_min,seed_search,seed_test,seed_algorithm,hawkes_mu,hawkes_beta,hawkes_eta,kappa,distance_km,nominal_tardiness_min,tard_mean,tard_std,tard_var95,tard_cvar95,on_time_mean,max_tard_mean,omi_exposure_mean,omi_exposure_max,route_sampled_multiplier_mean,J_mean_test,J_cvar_test,search_scenario_evals,search_evaluated_candidates,search_operator_decisions,search_null_proposals,search_runtime_s,external_wall_s
6,1,ALNS-CVaR,77,527.8491041104045,5143001,5144001,5153001,0.01,0.6,0.35,0.9,383.1,0.0,0.7361032186761775,4.221834013771968,2.5729579367737188,14.01697870309535,0.9983896103896104,0.4609455974850633,0.0529581809756817,0.8679606229135393,1.0476623628781137,384.5722064373523,411.13395740619075,25100,250,262,12,24.168473208999785,24.211514333001105
6,2,OR-Tools,77,527.8491041104045,5243001,5244001,0,0.01,0.6,0.35,0.9,370.7000000000001,0.0,19.916462937724564,19.547811653797417,55.822402250009304,80.60742519162842,0.958272727272727,9.456501736581933,0.0530587119805581,0.8668719792296645,1.0477528407825023,410.5329258754492,531.9148503832569,0,0,0,0,0.0,0.0
6,2,ALNS-Mean,77,527.8491041104045,5243001,5244001,5252001,0.01,0.6,0.35,0.9,374.0,0.0,1.880888901401021,4.23883357899556,11.593895721766586,16.751717344161058,0.9956103896103896,1.813808210848321,0.0540237767625712,0.8682734552664306,1.048621399086314,377.7617778028021,407.5034346883221,25100,250,272,22,26.218612833006773,26.264402375003556
6,2,ALNS-CVaR,77,527.8491041104045,5243001,5244001,5253001,0.01,0.6,0.35,0.9,375.4,0.0,3.617756903567208,6.178669107690989,17.545318345662707,23.27281745420399,0.9898311688311688,2.998905663331613,0.0538046176992712,0.862679579149157,1.048424155929344,382.6355138071344,421.9456349084079,25100,250,254,4,22.042995750001865,22.085297707999416
6,3,OR-Tools,77,527.8491041104045,5343001,5344001,0,0.01,0.6,0.35,0.9,370.7000000000001,0.0,19.000085679278776,19.066775141386255,55.989232670999,79.22842120090924,0.9600389610389608,9.074840400526464,0.0516779107967854,0.8640506625042531,1.046510119717107,408.7001713585576,529.1568424018185,0,0,0,0,0.0,0.0
6,3,ALNS-Mean,77,527.8491041104045,5343001,5344001,5352001,0.01,0.6,0.35,0.9,381.6,0.0,2.8592154340171545,6.31304276900497,16.14367764922224,23.56758307449359,0.9935194805194804,2.4121931057959083,0.0526146872287438,0.8706037648777659,1.0473532185058694,387.31843086803434,428.7351661489872,25100,250,261,11,24.523167209001254,24.567832875000025
6,3,ALNS-CVaR,77,527.8491041104045,5343001,5344001,5353001,0.01,0.6,0.35,0.9,376.9,0.0,0.5126830251187059,2.198864088676018,3.8501803694640273,8.927783757755781,0.9987792207792208,0.5106022869061635,0.0531151081474947,0.8781504763923844,1.0478035973327453,377.9253660502374,394.75556751551153,25100,250,258,8,23.59076120800455,23.63214254200284
7,1,OR-Tools,66,536.4634582272179,6143001,6144001,0,0.01,0.6,0.35,0.9,363.39999999999986,0.0,7.32090391173896,10.761737810693104,25.58304079643108,41.35829301125179,0.982742424242424,5.811490156094327,0.0527018378850673,0.8622518439584811,1.0474316540965607,378.04180782347777,446.11658602250344,0,0,0,0,0.0,0.0
7,1,ALNS-Mean,66,536.4634582272179,6143001,6144001,6152001,0.01,0.6,0.35,0.9,364.0,0.0,5.101609108791187,8.88941586633849,20.288581492386182,34.05719963675265,0.9886515151515152,4.192022492916604,0.0524480421873994,0.8608412140747259,1.0472032379686596,374.2032182175824,432.1143992735053,25100,250,273,23,19.91200424999988,19.951796874993303
7,1,ALNS-CVaR,66,536.4634582272179,6143001,6144001,6153001,0.01,0.6,0.35,0.9,369.09999999999985,0.0,2.5585666713903574,11.062924755631332,12.345074179830505,33.62720713602324,0.9950151515151514,1.8243922160480923,0.0523534320829093,0.8574328553049699,1.0471180888746183,374.2171333427806,436.3544142720463,25100,250,255,5,17.050493875001848,17.08690391699929
7,2,OR-Tools,66,536.4634582272179,6243001,6244001,0,0.01,0.6,0.35,0.9,363.39999999999986,0.0,7.896851259862335,11.702581797650575,27.767909036575137,46.35073677958394,0.982030303030303,6.1797732251406545,0.0527360541149727,0.853916769716805,1.0474624487034754,379.1937025197245,456.10147355916774,0,0,0,0,0.0,0.0
7,2,ALNS-Mean,66,536.4634582272179,6243001,6244001,6252001,0.01,0.6,0.35,0.9,363.6999999999999,0.0,5.927266054200192,10.819593675563617,22.067532926100057,41.70449528515343,0.9853787878787876,4.487472905162904,0.0526050847031729,0.8579652912893578,1.0473445762328557,375.5545321084003,447.10899057030673,25100,250,284,34,21.797075541995586,21.83608416700008
7,2,ALNS-CVaR,66,536.4634582272179,6243001,6244001,6253001,0.01,0.6,0.35,0.9,377.7999999999999,0.0,4.357807835519539,7.676196225793295,18.263297681418575,30.406312938107263,0.984712121212121,3.2786345498886784,0.0533404487193394,0.8532848257886784,1.0480064038474055,386.51561567103903,438.61262587621445,25100,250,262,12,18.424861874998896,18.46198795800592
7,3,OR-Tools,66,536.4634582272179,6343001,6344001,0,0.01,0.6,0.35,0.9,363.39999999999986,0.0,7.13536611381942,10.618006259065869,26.055502660745503,41.765052670126536,0.9833939393939392,5.598728526609688,0.0523574379426691,0.8561693136476819,1.0471216941484025,377.6707322276387,446.9301053402529,0,0,0,0,0.0,0.0
