decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score
103,84,0,8,0,1,383.4745103213962,373.78950151707056,383.4745103213962
104,85,1,11,0,0,383.4745103213962,373.78950151707056,388.8843477521042
105,86,0,11,0,0,383.4745103213962,373.78950151707056,394.7575659624017
106,87,0,11,0,0,383.4745103213962,373.78950151707056,394.7575659624017
107,88,2,10,0,1,384.27451032139624,373.78950151707056,384.27451032139624
108,89,0,11,0,0,384.27451032139624,373.78950151707056,430.29360922654234
109,90,2,10,0,1,380.13962970419357,373.78950151707056,380.13962970419357
110,91,1,11,0,0,380.13962970419357,373.78950151707056,386.34990461120975
111,92,0,12,0,1,379.3396297041936,373.78950151707056,379.3396297041936
112,93,0,12,0,0,379.3396297041936,373.78950151707056,442.5085205351564
113,94,2,9,0,1,380.13962970419357,373.78950151707056,380.13962970419357
114,95,1,11,0,1,379.3396297041936,373.78950151707056,379.3396297041936
115,96,1,9,0,0,379.3396297041936,373.78950151707056,390.6226853451991
116,97,1,12,0,0,379.3396297041936,373.78950151707056,388.05037535309873
117,98,1,12,0,0,379.3396297041936,373.78950151707056,401.44660429611963
118,99,1,12,0,0,379.3396297041936,373.78950151707056,383.4745103213962
119,100,0,12,0,0,379.3396297041936,373.78950151707056,383.4745103213962
120,101,2,11,0,0,379.3396297041936,373.78950151707056,398.11172367891703
121,102,0,9,0,0,379.3396297041936,373.78950151707056,379.6396297041936
122,103,2,10,0,0,379.3396297041936,373.78950151707056,423.2933638267847
123,104,0,11,0,0,379.3396297041936,373.78950151707056,397.311723678917
124,105,1,11,0,0,379.3396297041936,373.78950151707056,386.34990461120975
125,106,2,10,0,0,379.3396297041936,373.78950151707056,394.7575659624017
126,107,2,9,0,0,379.3396297041936,373.78950151707056,390.6226853451991
127,108,0,10,0,0,379.3396297041936,373.78950151707056,397.311723678917
128,109,2,12,0,0,379.3396297041936,373.78950151707056,436.2208819853768
129,110,0,9,0,0,379.3396297041936,373.78950151707056,390.6226853451991
130,111,0,10,0,1,381.9113245438329,373.78950151707056,381.9113245438329
131,112,0,11,0,1,382.7113245438329,373.78950151707056,382.7113245438329
132,113,1,9,0,1,380.13962970419357,373.78950151707056,380.13962970419357
133,114,0,8,0,1,379.3396297041936,373.78950151707056,379.3396297041936
134,115,1,12,0,0,379.3396297041936,373.78950151707056,487.67382836851425
135,116,2,9,0,0,379.3396297041936,373.78950151707056,383.4745103213962
136,117,0,10,0,0,379.3396297041936,373.78950151707056,409.08322605969136
137,117,1,10,1,0,379.3396297041936,373.78950151707056,
138,118,1,12,0,0,379.3396297041936,373.78950151707056,500.4002191946216
139,119,2,11,0,1,379.50379950597033,373.78950151707056,379.50379950597033
140,120,2,12,0,1,383.5396297041936,373.78950151707056,383.5396297041936
141,121,2,11,0,1,383.7037995059703,373.78950151707056,383.7037995059703
142,122,0,11,0,0,383.7037995059703,373.78950151707056,384.25918612542546
143,123,0,11,0,1,383.9621705935136,373.78950151707056,383.9621705935136
144,124,2,10,0,0,383.9621705935136,373.78950151707056,385.7343712392019
145,125,0,10,0,1,384.76217059351353,373.78950151707056,384.76217059351353
146,126,0,11,0,0,384.76217059351353,373.78950151707056,395.7718605705289
147,127,1,10,0,0,384.76217059351353,373.78950151707056,392.22883425577083
148,128,2,8,0,0,384.76217059351353,373.78950151707056,389.7133237131795
149,129,1,11,0,1,383.9621705935136,373.78950151707056,383.9621705935136
150,130,1,12,0,0,383.9621705935136,373.78950151707056,395.7718605705289
151,131,0,12,0,0,383.9621705935136,373.78950151707056,386.41677768303356
152,132,2,11,0,1,384.66217059351357,373.78950151707056,384.66217059351357
153,133,1,11,0,1,384.4621705935136,373.78950151707056,384.4621705935136
154,134,0,9,0,1,384.16217059351357,373.78950151707056,384.16217059351357
155,135,1,9,0,1,383.9621705935136,373.78950151707056,383.9621705935136
156,136,2,9,0,0,383.9621705935136,373.78950151707056,395.7718605705289
157,137,1,9,0,0,383.9621705935136,373.78950151707056,395.7718605705289
158,138,1,10,0,0,383.9621705935136,373.78950151707056,447.7826694083387
159,139,0,9,0,0,383.9621705935136,373.78950151707056,392.3300851586334
160,140,0,11,0,0,383.9621705935136,373.78950151707056,395.7718605705289
161,140,0,10,1,0,383.9621705935136,373.78950151707056,
162,141,0,11,0,0,383.9621705935136,373.78950151707056,393.32849953772853
163,142,0,12,0,0,383.9621705935136,373.78950151707056,440.6221801864841
164,143,1,8,0,1,384.51755721296865,373.78950151707056,384.51755721296865
165,144,0,9,0,0,384.51755721296865,373.78950151707056,420.60961583783416
166,145,0,11,0,0,384.51755721296865,373.78950151707056,420.72355307719886
167,146,0,10,0,0,384.51755721296865,373.78950151707056,396.327247189984
168,146,1,9,1,0,384.51755721296865,373.78950151707056,
169,147,1,10,0,0,384.51755721296865,373.78950151707056,396.327247189984
170,148,2,12,0,0,384.51755721296865,373.78950151707056,388.7533890394812
171,148,1,9,1,0,384.51755721296865,373.78950151707056,
172,149,1,10,0,0,384.51755721296865,373.78950151707056,396.327247189984
173,150,1,10,0,0,384.51755721296865,373.78950151707056,400.34307569252366
174,151,1,11,0,1,379.2032008241233,373.78950151707056,379.2032008241233
175,152,0,10,0,0,379.2032008241233,373.78950151707056,392.0355255430309
176,153,1,10,0,1,379.5032008241233,373.78950151707056,379.5032008241233
177,154,0,10,0,0,379.5032008241233,373.78950151707056,392.0355255430309
178,155,2,10,0,0,379.5032008241233,373.78950151707056,383.9026505991701
179,156,0,9,0,1,379.2032008241233,373.78950151707056,379.2032008241233
180,157,0,10,0,0,379.2032008241233,373.78950151707056,494.1939157091485
181,158,1,11,0,0,379.2032008241233,373.78950151707056,401.65479659839923
182,159,0,9,0,0,379.2032008241233,373.78950151707056,382.62463032305266
183,160,2,10,0,0,379.2032008241233,373.78950151707056,382.8244006782874
184,160,0,9,1,0,379.2032008241233,373.78950151707056,
185,161,1,12,0,0,379.2032008241233,373.78950151707056,392.0355255430309
186,162,2,9,0,0,379.2032008241233,373.78950151707056,541.5562314859935
187,163,1,9,0,0,379.2032008241233,373.78950151707056,392.0355255430309
188,164,0,10,0,0,379.2032008241233,373.78950151707056,394.3778238702666
189,164,2,11,1,0,379.2032008241233,373.78950151707056,
190,165,0,10,0,0,379.2032008241233,373.78950151707056,403.6033530043995
191,166,0,10,0,0,379.2032008241233,373.78950151707056,392.0355255430309
192,167,2,10,0,0,379.2032008241233,373.78950151707056,392.0355255430309
193,168,0,9,0,0,379.2032008241233,373.78950151707056,380.97540146981163
194,169,0,12,0,1,385.7587304172831,373.78950151707056,385.7587304172831
195,169,1,12,1,0,385.7587304172831,373.78950151707056,
196,170,1,10,0,0,385.7587304172831,373.78950151707056,407.05879881865474
197,171,2,9,0,0,385.7587304172831,373.78950151707056,394.17886002803596
198,172,0,12,0,1,379.2032008241233,373.78950151707056,379.2032008241233
199,173,1,11,0,0,379.2032008241233,373.78950151707056,392.0355255430309
200,173,0,8,1,0,379.2032008241233,373.78950151707056,
201,174,1,10,0,0,379.2032008241233,373.78950151707056,392.0355255430309
202,175,1,11,0,0,379.2032008241233,373.78950151707056,392.0355255430309
203,175,1,8,1,0,379.2032008241233,373.78950151707056,
204,175,1,10,1,0,379.2032008241233,373.78950151707056,
205,175,1,10,1,0,379.2032008241233,373.78950151707056,
206,175,0,10,1,0,379.2032008241233,373.78950151707056,
207,176,2,9,0,0,379.2032008241233,373.78950151707056,385.3405516909214
208,177,1,9,0,0,379.2032008241233,373.78950151707056,435.42022930257156
209,178,1,12,0,0,379.2032008241233,373.78950151707056,507.2601413608512
210,179,1,12,0,0,379.2032008241233,373.78950151707056,392.0355255430309
211,180,2,12,0,0,379.2032008241233,373.78950151707056,400.503269225495
212,181,0,9,0,0,379.2032008241233,373.78950151707056,392.0355255430309
213,182,2,9,0,0,379.2032008241233,373.78950151707056,404.58973267665345
214,183,0,9,0,0,379.2032008241233,373.78950151707056,397.81746710854185
215,184,2,12,0,0,379.2032008241233,373.78950151707056,388.69191395107515
216,185,1,12,0,0,379.2032008241233,373.78950151707056,392.0355255430309
217,186,2,10,0,0,379.2032008241233,373.78950151707056,432.2934265432761
218,186,1,12,1,0,379.2032008241233,373.78950151707056,
219,186,1,10,1,0,379.2032008241233,373.78950151707056,
220,187,0,10,0,0,379.2032008241233,373.78950151707056,392.0355255430309
221,188,1,10,0,1,379.39836963406464,373.78950151707056,379.39836963406464
222,189,2,12,0,0,379.39836963406464,373.78950151707056,385.6296894980625
223,190,1,11,0,0,379.39836963406464,373.78950151707056,386.2693104964821
224,191,0,9,0,0,379.39836963406464,373.78950151707056,384.3495227537306
225,192,0,12,0,0,379.39836963406464,373.78950151707056,405.06012220701007
226,193,0,11,0,0,379.39836963406464,373.78950151707056,390.0725565251304
227,194,2,9,0,1,379.2032008241233,373.78950151707056,379.2032008241233
228,195,2,11,0,1,380.001800877068,373.78950151707056,380.001800877068
229,196,2,9,0,1,379.2032008241233,373.78950151707056,379.2032008241233
230,197,1,12,0,0,379.2032008241233,373.78950151707056,392.0355255430309
231,198,1,11,0,0,379.2032008241233,373.78950151707056,394.8890670054602
232,199,1,9,0,0,379.2032008241233,373.78950151707056,392.0355255430309
233,200,1,8,0,1,379.39836963406464,373.78950151707056,379.39836963406464
234,201,2,10,0,1,379.4147172193417,373.78950151707056,379.4147172193417
235,202,0,11,0,0,379.4147172193417,373.78950151707056,407.75724546588003
236,202,1,8,1,0,379.4147172193417,373.78950151707056,
237,203,0,12,0,0,379.4147172193417,373.78950151707056,391.71877320409845
238,204,0,11,0,0,379.4147172193417,373.78950151707056,392.24704193824925
239,205,1,10,0,0,379.4147172193417,373.78950151707056,392.24704193824925
240,206,1,11,0,0,379.4147172193417,373.78950151707056,392.24704193824925
241,207,2,11,0,1,379.2032008241233,373.78950151707056,379.2032008241233
242,208,0,9,0,0,379.2032008241233,373.78950151707056,392.0355255430309
243,209,2,9,0,0,379.2032008241233,373.78950151707056,391.40979211283326
244,210,2,11,0,0,379.2032008241233,373.78950151707056,380.5833353498797
245,210,1,9,1,0,379.2032008241233,373.78950151707056,
246,211,2,9,0,0,379.2032008241233,373.78950151707056,384.15435394378926
247,212,0,11,0,0,379.2032008241233,373.78950151707056,404.2515930053083
248,213,0,9,0,0,379.2032008241233,373.78950151707056,390.9445922188863
249,214,0,12,0,0,379.2032008241233,373.78950151707056,399.409935902484
250,215,2,12,0,0,379.2032008241233,373.78950151707056,394.17886002803596
251,216,2,12,0,0,379.2032008241233,373.78950151707056,396.65032172006596
252,217,2,12,0,0,379.2032008241233,373.78950151707056,386.07414168654077
253,218,0,12,0,0,379.2032008241233,373.78950151707056,392.0355255430309
254,218,2,8,1,0,379.2032008241233,373.78950151707056,
255,219,0,9,0,0,379.2032008241233,373.78950151707056,392.0355255430309
256,220,1,10,0,0,379.2032008241233,373.78950151707056,392.0355255430309
257,221,0,12,0,0,379.2032008241233,373.78950151707056,399.54754203425017
258,221,1,9,1,0,379.2032008241233,373.78950151707056,
259,222,0,10,0,0,379.2032008241233,373.78950151707056,424.34611338322804
260,223,1,10,0,0,379.2032008241233,373.78950151707056,383.9716107377144
261,224,1,11,0,0,379.2032008241233,373.78950151707056,392.0355255430309
262,225,2,11,0,0,379.2032008241233,373.78950151707056,395.1843726642033
263,226,1,9,0,0,379.2032008241233,373.78950151707056,392.0355255430309
264,227,2,9,0,0,379.2032008241233,373.78950151707056,392.0355255430309
265,228,1,11,0,1,380.001800877068,373.78950151707056,380.001800877068
266,229,2,10,0,0,380.001800877068,373.78950151707056,390.7204407581648
267,230,1,11,0,1,379.2032008241233,373.78950151707056,379.2032008241233
268,231,0,9,0,0,379.2032008241233,373.78950151707056,415.9045369195361
269,232,1,11,0,0,379.2032008241233,373.78950151707056,392.0355255430309
270,233,1,10,0,0,379.2032008241233,373.78950151707056,392.0355255430309
271,234,1,9,0,0,379.2032008241233,373.78950151707056,379.97318164735765
272,235,2,9,0,1,379.38035677025266,373.78950151707056,379.38035677025266
273,235,2,10,1,0,379.38035677025266,373.78950151707056,
274,236,2,12,0,1,379.2032008241233,373.78950151707056,379.2032008241233
275,236,1,9,1,0,379.2032008241233,373.78950151707056,
276,237,2,9,0,0,379.2032008241233,373.78950151707056,399.6748155730993
277,238,2,12,0,0,379.2032008241233,373.78950151707056,406.46702917895834
278,239,1,11,0,0,379.2032008241233,373.78950151707056,392.0355255430309
279,240,0,12,0,0,379.2032008241233,373.78950151707056,443.80772456572697
