scenario_id,eta_0p00__OR-Tools,eta_0p00__ALNS-Mean,eta_0p00__ALNS-CVaR,eta_0p35__OR-Tools,eta_0p35__ALNS-Mean,eta_0p35__ALNS-CVaR,eta_0p70__OR-Tools,eta_0p70__ALNS-Mean,eta_0p70__ALNS-CVaR
166,8.604143850169919,8.321539528535823,4.685546732083168,7.977858408878916,6.826138735247952,0.0,5.6330030238933375,0.0,0.0
167,5.619635919958142,0.0,1.211891336184351,4.7811951252009806,0.0,0.0,0.4895299888298723,0.0,0.0
168,14.120845907430322,3.50227512101398,5.290648743320787,20.928464579156326,5.86036694739866,1.4589210426128716,15.883211025052532,0.22604549175798638,0.22604549175798638
169,0.0,0.0,0.0,4.0533207639577995,4.0533207639577995,9.102981455922787,1.0924943530308155,0.0,0.0
170,7.314036645175634,0.0,0.6626891118738172,44.77458603754522,0.0,0.0,5.517673380144373,0.0,0.0
171,32.11177584075878,25.38601630390164,15.1096039965378,4.098549103848256,1.6759353715685847,0.0,2.554015957184191,0.0,0.0
172,7.729073341144783,6.373648794229268,0.5642297964986085,10.816084602555947,1.4979734452178093,2.64026970678691,0.5510837868808949,1.7030918530711858,0.0
173,4.496379598140834,1.8429989928857822,0.0,4.959513642268689,4.852842381964365,0.0,162.7569347164935,0.0,0.0
174,17.89387075619544,0.0,0.0,11.646181273961446,0.0,0.0,93.89519879595613,0.0,0.0
175,10.951102201243742,0.0,2.460472929470427,11.39861089188119,0.0,0.0,8.507461399098617,0.0,12.410835653613844
176,17.791770040920852,9.746231212864984,5.69401765310468,4.772706124464037,0.0,0.0,41.045039834127095,0.0,0.0
177,0.3016465648186113,0.0,0.0,0.5902536410942218,0.0,1.200856761484829,0.3016465647841642,0.0,0.0
178,13.072850045680468,0.0,0.6643183626514997,23.593937476783907,0.20821009894706322,0.0,16.256920968353,0.0,0.0
179,0.3991464449850355,0.0,2.028711374593513,0.0,0.0,9.783673509957623,2.0961287161312043,0.0,0.0
180,9.165321606270993,5.808295730767185,1.5081271752457326,5.345875790066032,1.8500065085620747,0.0,23.876633746318475,0.0,0.0
181,7.369075396120081,0.5667102572800786,0.0,1.2090062304359321,0.0,0.0,1.1930234393843762,0.0,0.0
182,5.329233423654387,0.0,0.0,22.352658623098165,7.97476014742827,0.5746713683434166,9.955653019273853,0.0,0.0
183,24.804250610210232,0.0,0.0,12.71795191233997,0.0,0.0,61.97246409309375,0.0,60.846806396589386
184,2.6693753887298044,0.0,0.0,1.0079824535782222,0.0,0.23141567376987382,0.0,4.514364754489378,2.1344589058164445
185,0.3088761878307764,0.0,0.0,0.3088761878307764,0.0,0.0,0.3088761878307764,0.0,0.0
186,0.0,0.0,1.2520871414773183,0.0,0.0,0.0,0.0,12.45483426533383,2.1744475683422024
187,2.5875290198130756,0.0,0.5568467774344867,6.9683042673188424,0.0,0.0,6.28685318324878,0.0,0.0
188,0.7343386071868281,0.0,3.3812403418021404,1.7563863022132296,0.0,0.0,0.0,0.0,0.0
189,3.933815437108194,0.0,0.7972816959634201,0.2651344700262257,0.0,0.0,0.7846426527364656,0.0,0.0
190,1.3351188547232482,0.0,0.22390756796505684,3.340601648383199,3.340601648383199,0.0,21.727242379199936,1.152956330029184,0.0
191,7.94829452483512,0.0,0.5166774032626904,25.715743674296277,21.41786537868822,11.108751991622256,21.054389194459446,0.0,7.9902097065077555
192,0.0,0.0,0.0,3.869278136445274,0.0,0.0,0.0,0.0,0.0
193,41.51037747230751,11.152530399106467,3.3495989578676983,60.25594893207628,45.56402753999495,4.308926693945011,23.21855860606766,0.0,0.0
194,7.5574926389860195,2.8768403480548557,1.9977570947280583,11.673581384596105,1.8754216799516712,0.0,89.35546164165956,0.0,0.0
195,16.70782297928949,0.0,0.12479863795493884,9.026360920079611,0.0,0.0,18.452333331973023,0.0,0.0
196,11.305395762796621,0.0,0.0,4.4904970787969205,0.0,1.1583516493438424,4.4904970787969205,0.18482487633730216,0.18482487633730216
197,55.180785015803394,0.0,2.0800391160884146,25.754590083418293,0.0,0.0,19.775805015972196,0.0,0.0
198,74.40087295737044,1.446275865848662,7.022350464972533,21.536153873073772,2.8143172928322144,2.544963247923164,37.396988236194574,0.0,0.0
199,4.565698511084008,0.0,2.9668127732826974,17.868644463178555,16.640810740795814,0.6078140211066625,4.183747624524642,0.0,0.0
200,26.203889103020003,0.0,0.5836386017629991,17.851367498831337,0.0,0.0,15.928295613886547,0.0,0.0
201,10.921421259698008,1.5087617209018447,7.6307652191382545,10.023903377228237,2.35269998286617,0.0,1.2224843786472945,0.0,0.0
202,39.489431386645975,0.0,0.0,12.787728841888622,0.0,0.0,26.7327245409638,8.546254862587688,7.172984135072966
203,4.512677317777758,3.4342176986427546,0.0,2.2413788511713904,0.7517807917835455,0.0,1.078459292859634,0.0,0.0
204,26.085171742387217,12.072533635651581,3.283371827224869,42.268535283791266,0.0,0.0,13.714369356141788,0.5827695947363623,0.5827695947363623
205,13.18266647722848,0.0,0.09116474600983793,13.065748354754135,0.0,0.0,31.67330487482431,0.0,0.0
206,7.628838942834051,0.0,0.0,26.043871829104063,0.0,4.484927363988959,10.820077300282975,0.0,0.0
207,30.782789927506627,0.0,0.25656146762577237,10.420971399136448,0.0,0.0,3.9359766989721265,5.50698738753772,5.50698738753772
208,10.187229214267916,0.9529461972522881,0.11149422873666026,28.597094781505206,25.632044003738997,0.0,15.423258344786262,9.858743652104664,0.0
209,27.666413089220555,8.244114606289827,2.872140518689207,31.36680610825755,2.7965025835877952,0.0,15.489467497212843,0.0,0.0
210,28.14908552371267,6.380978117256859,4.80604201633011,22.207690716912538,0.0,0.0,51.044030189218574,0.16982144035671354,0.16982144035671354
